taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval
Chlamys,0.01,nonHet,140,Chlamys,extant,265.1,259.9,0.0117,0,Capitanian,Cenozoic
Choromytilus,0.01,nonHet,198,Choromytilus,extant,5.333,3.6,0.126,0,Pliocene,Holocene
Ciclopecten,0.01,nonHet,30,Ciclopecten,extant,3.6,2.588,3.6,2.588,Piacenzian,
Ciliatocardium,0.01,nonHet,86.7,Ciliatocardium,extant,55.8,48.6,0.0117,0,Eocene,Holocene
Circe,0.01,Het,64.9,Circe,extant,61.6,59.2,0.0117,0,Selandian,Holocene
Circomphalus,0.01,nonHet,83,Circomphalus,extant,23.03,15.97,0.781,0.126,Neogene,Middle Pleistocene
Claibornites,18.21,Het,29.65555556,Claibornites,extinct,72.1,66,33.9,28.1,Maastrichtian,Rupelian
Claraia,249.2,nonHet,46.88,Claraia,extinct,268.8,265.1,161.2,155.7,Wordian,Kimmeridgian
Clausinella,0.01,nonHet,30,Clausinella,extant,48.6,37.2,0.0117,0,Eocene,Holocene
Clavagella,0.01,nonHet,81.3,Clavagella,extant,86.3,83.6,3.6,2.588,Santonian,Neogene
Clavicosta,262.5,nonHet,12.56,Clavicosta,extinct,326.4,318.1,254.17,252.17,Serpukhovian,Permian
Clavipholas,69.05,Het,26.11333333,Clavipholas,extinct,72.1,66,55.8,33.9,Maastrichtian,Eocene
Cleidothaerus,0.01,nonHet,75,Cleidothaerus,extant,23.03,15.97,11.608,5.333,Miocene,
Cleionychia,449.1,nonHet,46.29,Cleionychia,extinct,478.6,471.8,407.6,393.3,Ordovician,Early Devonian
Clementia,0.01,Het,99.6,Clementia,extant,122.46,112.03,0.126,0,Aptian,Cenozoic
Clencharia,0.01,nonHet,7.8,Clencharia,extant,,,,,,
Clidiophora,0.01,nonHet,39,Clidiophora,extant,11.608,5.333,1.806,0.0117,Tortonian,Pleistocene
Climacotrigonia,96.9,nonHet,56.45,Climacotrigonia,extinct,,,,,,
Clinocardium,0.01,nonHet,146,Clinocardium,extant,56,47.8,0.126,0,Eocene,Holocene
Cliopteria,424.3,nonHet,21.33,Cliopteria,extinct,,,,,,
Clisocolus,69.05,nonHet,24.70666667,Clisocolus,extinct,132.9,129.4,66,56,Hauterivian,Paleocene
Cochlodesma,0.01,nonHet,44,Cochlodesma,extant,61.6,59.2,2.588,0.781,Selandian,Calabrian
Codakia,0.01,Het,76.4375,Codakia,extant,152.1,145,0.0117,0,Tithonian,Cenozoic
Coelastarte,91.55,Het,62.31666667,Coelastarte,extinct,201.3,199.3,150.8,145,Jurassic,
Coelocyprina,167.2,nonHet,45.45714286,Coelocyprina,extinct,189.6,183,189.6,183,Pliensbachian,
Colpomya,424.3,nonHet,40.15,Colpomya,extinct,478.6,466,163.5,152.1,Ordovician,Kimmeridgian
Colveraia,69.05,nonHet,52.6,Colveraia,extinct,83.6,72.1,70.6,66,Campanian,Maastrichtian
Conchocele,0.01,Het,28.35714286,Conchocele,extant,72.1,66,0.781,0.0117,Maastrichtian,Pleistocene
Conchodon,204.9,nonHet,181.6,Conchodon,extinct,212,205.6,208.5,201.3,Norian,Rhaetian
Condylocardia,0.01,nonHet,3.1,Condylocardia,extant,47.8,41.3,2.588,0.781,Lutetian,Calabrian
Condylocuna,0.01,nonHet,1.8,Condylocuna,extant,37.2,33.9,37.2,33.9,Priabonian,
Congeriomorpha,377.45,nonHet,21.83,Congeriomorpha,extinct,382.7,372.2,382.7,372.2,Frasnian,
Cooperella,0.01,Het,21.4,Cooperella,extant,3.6,2.588,0.126,0.0117,Piacenzian,Pleistocene
Coquandia,96.9,Het,43.98571429,Coquandia,extinct,,,,,,
Coralliochama,69.05,nonHet,217.3666667,Coralliochama,extinct,86.3,83.6,70.6,66,Santonian,Maastrichtian
Coralliophaga,0.01,Het,63,Coralliophaga,extant,66,56,0.781,0.0117,Paleogene,Pleistocene
Corbicula,0.01,Het,23.13,Corbicula,extant,201.3,199.3,0.0117,0,Jurassic,Cenozoic
Corbiculopsis,119,nonHet,55.91428571,Corbiculopsis,extinct,,,,,,
Corbula,0.01,Het,26.3,Corbula,extant,247.2,242,0.0117,0,Middle Triassic,Cenozoic
Corbulamella,69.05,Het,2.872,Corbulamella,extinct,99.6,93.5,55.8,47.8,Late Cretaceous,Ypresian
Corbulomima,119,Het,9.8,Corbulomima,extinct,183,182,125.45,122.46,Pliensbachian,Aptian
Cornucardia,218.25,nonHet,64.22857143,Cornucardia,extinct,237,232,232,208.5,Carnian,Norian
Cosa,0.01,nonHet,4.5,Cosa,extant,33.9,28.4,33.9,28.4,Rupelian,
Cosmetodon,69.05,nonHet,42.89,Cosmetodon,extinct,290.1,279.3,66,61.6,Artinskian,Danian
Cosmogoniophorina,449.1,nonHet,26.67,Cosmogoniophorina,extinct,478.6,470,453,443.4,Ordovician,Late Ordovician
Cossmannella,18.21,nonHet,14.73,Cossmannella,extinct,55.8,41.3,47.8,37.2,Ypresian,Priabonian
Costacallista,0.01,nonHet,93.3,Costacallista,extant,66,61.6,3.6,2.588,Paleogene,Neogene
Costagyra,69.05,nonHet,176.75,Costagyra,extinct,113,100.5,72.1,66,Albian,Late Cretaceous
Costatoleda,0.01,nonHet,37.32,Costatoleda,extant,,,,,,
Costatoria,218.25,nonHet,20.9375,Costatoria,extinct,259.9,254.17,170.3,168.3,Lopingian,Bajocian
Costeina,0.01,nonHet,69.56666667,Costeina,extinct,,,,,,
Costelloleda,0.01,nonHet,40,Costelloleda,extant,66,56,1.806,0.781,Paleogene,Calabrian
Costigervillia,154.7,nonHet,61.88,Costigervillia,extinct,242,237,155.7,150.8,Ladinian,Jurassic
Costokidderia,0.01,nonHet,7,Costokidderia,extant,5.333,2.588,5.333,2.588,Pliocene,
Coxesia,262.5,nonHet,19.61,Coxesia,extinct,268.8,254.17,265.1,254.17,Wordian,Wuchiapingian
Crassadoma,0.01,nonHet,266.7,Crassadoma,extant,201.3,189.6,0.126,0,Jurassic,Cenozoic
Crassatella,0.01,Het,102.36,Crassatella,extant,145,130,0.126,0,Cretaceous,Cenozoic
Crassatina,0.01,Het,33.5,Crassatina,extant,66,56,5.333,2.588,Paleogene,Neogene
Crassinella,0.01,nonHet,10,Crassinella,extinct,201.3,190.8,132.9,129.4,Jurassic,Hauterivian
Cratis,0.01,nonHet,7,Cratis,extant,21.7,19,0.126,0.0117,Neogene,Pleistocene
Cremnoceramus,69.05,nonHet,77.01428571,Cremnoceramus,extinct,93.9,89.8,72.1,66,Turonian,Maastrichtian
Crenatula,0.01,nonHet,94.3,Crenatula,extant,,,,,,
Crenella,0.01,nonHet,10,Crenella,extant,105.3,99.6,0.0117,0,Albian,Cenozoic
Crenotrapezium,178.4,nonHet,35.78,Crenotrapezium,extinct,199.3,190.8,145,130,Sinemurian,Hauterivian
Crepispisula,0.01,nonHet,70,Crepispisula,extinct,61.6,59.2,48.6,37.2,Selandian,Eocene
Criocardium,69.05,Het,19.25,Criocardium,extinct,,,,,,
Cruciella,231.5,nonHet,16.155,Cruciella,extinct,,,,,,
Cryptomactra,0.01,Het,23.25,Cryptomactra,extinct,15.97,11.608,12.7,11.608,Langhian,Tortonian
Cryptomya,0.01,Het,37,Cryptomya,extant,47.8,38,0.0117,0,Lutetian,Holocene
Cryptopecten,0.01,nonHet,43.52,Cryptopecten,extant,15.97,11.608,0.126,0.0117,Langhian,Pleistocene
Ctenocardia,0.01,Het,59.5,Ctenocardia,extant,11.608,5.333,0.126,0,Tortonian,Holocene
Ctenodonta,449.1,nonHet,28.84,Ctenodonta,extinct,485.4,477.7,345.3,323.2,Ordovician,Mississippian
Ctenoides,0.01,nonHet,115.4,Ctenoides,extant,163.5,152.1,0.126,0.0117,Late Jurassic,Pleistocene
Cubitostrea,6.29,nonHet,44.3,Cubitostrea,extinct,201.3,196.5,0.0117,0,Jurassic,Cenozoic
Cucullaea,0.01,nonHet,136.5,Cucullaea,extant,364.7,360.7,0.126,0,Famennian,Cenozoic
Cucullaria,51.9,nonHet,73.12857143,Cucullaria,extinct,66,61.6,11.608,5.333,Paleogene,Miocene
Cucumerunio,0.01,nonHet,193.9,Cucumerunio,extant,,,,,,
Cultellus,0.01,Het,155,Cultellus,extant,237,228,0.0117,0,Late Triassic,Cenozoic
Cultriopsis,69.05,nonHet,39.85,Cultriopsis,extinct,247.2,242,189.6,182.7,Middle Triassic,Pliensbachian
Cumberlandia,0.01,nonHet,95.26,Cumberlandia,extant,,,,,,
Cumingia,0.01,nonHet,52,Cumingia,extant,41.3,38,0.126,0,Bartonian,Holocene
Cuna,0.01,nonHet,81,Cuna,extant,83.5,70.6,2.588,0.0117,Campanian,Pleistocene
Cunanax,0.01,nonHet,9,Cunanax,extant,,,,,,
Cuneamya,338.8,nonHet,37.4,Cuneamya,extinct,478.6,468.1,387.7,382.7,Ordovician,Middle Devonian
Cuneocorbula,39.65,Het,9.836,Cuneocorbula,extinct,145,132.9,13.82,11.62,Cretaceous,Serravallian
Cuneopsis,0.01,nonHet,88.9,Cuneopsis,extant,170.3,168.3,41.3,33.9,Bajocian,Eocene
Curionia,204.9,nonHet,21.77,Curionia,extinct,247.2,242,201.3,174.1,Middle Triassic,Early Jurassic
Curvostrea,69.05,nonHet,38.06,Curvostrea,extinct,109,105.3,70.6,66,Albian,Late Cretaceous
Cuspicorbula,51.9,Het,10.45333333,Cuspicorbula,extinct,41.3,38,41.3,38,Bartonian,
Cuspidaria,0.01,nonHet,62.5,Cuspidaria,extant,242,235,3.6,2.588,Ladinian,Neogene
Cyamiomactra,0.01,nonHet,11,Cyamiomactra,extant,,,,,,
Cyamionema,0.01,nonHet,6.703571429,Cyamionema,extant,,,,,,
Cycladicama,0.01,Het,18.205,Cycladicama,extant,55.8,48.6,0.126,0.0117,Eocene,Pleistocene
Cyclina,0.01,Het,72,Cyclina,extant,99.6,93.5,2.588,0.0117,Late Cretaceous,Pleistocene
Cyclinella,0.01,nonHet,81.3,Cyclinella,extant,56,47.8,0.0117,0,Eocene,Holocene
Cyclocardia,0.01,Het,60,Cyclocardia,extant,100.5,93.9,0.0117,0,Late Cretaceous,Cenozoic
Cycloconcha,449.1,nonHet,19.504,Cycloconcha,extinct,466,460.9,449.5,443.7,Darriwilian,Late Ordovician
Cyclopecten,0.01,nonHet,25,Cyclopecten,extant,56,53,1.806,0.0117,Eocene,Pleistocene
Cyclopellatia,127.2,nonHet,13.544,Cyclopellatia,extinct,,,,,,
Cyclorisma,69.05,nonHet,71.12,Cyclorisma,extinct,145,139.8,70.6,66,Cretaceous,
Cymatoica,0.01,Het,17.345,Cymatoica,extant,11.62,7.246,0.781,0.126,Tortonian,Middle Pleistocene
Cymatonota,449.1,nonHet,58.73,Cymatonota,extinct,478.6,466,387.7,382.7,Ordovician,Middle Devonian
Cymella,69.05,nonHet,27.78,Cymella,extinct,83.6,72.1,70.6,66,Campanian,Maastrichtian
Cypricardella,305.35,nonHet,14.9,Cypricardella,extinct,449.5,443.7,259.9,254.17,Katian,Wuchiapingian
Cypricardinia,262.5,nonHet,9.463333333,Cypricardinia,extinct,485.4,477.7,259.9,254.17,Ordovician,Wuchiapingian
Cyprimeria,51.9,nonHet,50.82,Cyprimeria,extant,125,113,3.6,2.588,Aptian,Neogene
Cyprogenia,0.01,nonHet,45.67,Cyprogenia,extant,,,,,,
Cyrenopsis,119,nonHet,26.22857143,Cyrenopsis,extinct,125,113,125,113,Aptian,
Cyrtodaria,0.01,Het,90,Cyrtodaria,extant,70.6,66,0.0117,0,Maastrichtian,Cenozoic
Cyrtodonta,435.95,nonHet,18.9,Cyrtodonta,extinct,478.6,471.8,407.6,393.3,Ordovician,Early Devonian
Cyrtodontula,428.95,nonHet,28.57,Cyrtodontula,extinct,478.6,473.9,303.4,298.9,Ordovician,Carboniferous
Cyrtopinna,0.01,nonHet,550,Cyrtopinna,extant,,,,,,
Cyrtopleura,0.01,Het,57.81,Cyrtopleura,extant,66,58.7,0.0117,0,Cenozoic,
Cyrtorostra,251.7,nonHet,15.40333333,Cyrtorostra,extinct,298.9,295.5,254.17,251.3,Permian,Induan
Dacrydium,0.01,nonHet,8.2,Dacrydium,extant,83.5,66,0.126,0.0117,Campanian,Pleistocene
Daharina,186.75,nonHet,189.2,Daharina,extinct,,,,,,
Dallocardia,0.01,nonHet,143.6,Dallocardia,extant,37.2,33.9,0.0117,0,Priabonian,Holocene
Daonella,238.5,nonHet,44.01,Daonella,extinct,391.9,383.7,212,201.3,Middle Devonian,Triassic
Darcinia,35.95,nonHet,21.84,Darcinia,extinct,37.2,33.9,37.2,33.9,Priabonian,
Datta,204.9,nonHet,9.795,Datta,extinct,,,,,,
Davidia,481.55,nonHet,23.16,Davidia,extinct,478.6,471.8,11.608,5.333,Ordovician,Miocene
Decatopecten,0.01,nonHet,73.3,Decatopecten,extant,20.44,15.97,0.126,0.0117,Burdigalian,Pleistocene
Deceptrix,400.45,nonHet,14.805,Deceptrix,extinct,485.4,478.6,407.6,393.3,Ordovician,Early Devonian
Dechaseauxia,69.05,nonHet,101.25,Dechaseauxia,extinct,72.1,66,72.1,66,Maastrichtian,
Delectopecten,0.01,nonHet,45,Delectopecten,extant,66,61.7,0.126,0.0117,Paleogene,Pleistocene
Delia,160.4,nonHet,30.14,Delia,extinct,,,,,,
Deltamya,69.05,nonHet,23.57,Deltamya,extinct,72.1,66,72.1,66,Maastrichtian,
Deltoideum,148.55,nonHet,126.32,Deltoideum,extinct,163.5,157.3,139.8,132.9,Late Jurassic,Valanginian
Deltopecten,262.5,nonHet,155.7555556,Deltopecten,extinct,358.9,336,254.17,252.17,Carboniferous,Permian
Dendostrea,0.01,nonHet,120,Dendostrea,extant,113,93.5,0.0117,0,Albian,Cenozoic
Dentonia,51.9,nonHet,31.55,Dentonia,extinct,100.5,93.9,47.8,38,Late Cretaceous,Bartonian
Devonia,35.95,nonHet,3.148863636,Devonia,extinct,,,,,,
Dexiobia,352.8,nonHet,9.195,Dexiobia,extinct,358.9,353.8,358.9,342.8,Tournaisian,Visean
Diceras,154.7,nonHet,39.88,Diceras,extinct,163.5,157.3,105.3,99.6,Late Jurassic,Cenomanian
Dicerocardium,204.9,nonHet,76.38,Dicerocardium,extinct,237,208.5,212,201.3,Late Triassic,
Dictyoptychus,69.05,nonHet,386.25,Dictyoptychus,extinct,86.3,72.1,72.1,66,Santonian,Maastrichtian
Didimacar,0.01,nonHet,20,Didimacar,extant,,,,,,
Didymotis,88.05,nonHet,60.67142857,Didymotis,extinct,125,113,89.3,85.8,Aptian,Santonian
Digitaria,0.01,nonHet,10,Digitaria,extant,28.1,23.03,2.588,0.781,Chattian,Calabrian
Dimya,0.01,nonHet,21.3,Dimya,extant,70.6,66,1.806,0.781,Maastrichtian,Calabrian
Dimyodon,69.05,nonHet,7.211764706,Dimyodon,extinct,247.2,237,5.333,3.6,Middle Triassic,Zanclean
Dinocardium,0.01,Het,149,Dinocardium,extant,41.3,38,0.0117,0,Bartonian,Holocene
Diotis,186.75,nonHet,15.76,Diotis,extinct,201.3,182.7,182.7,174.1,Early Jurassic,
Dipleurodonta,449.1,nonHet,10.16333333,Dipleurodonta,extinct,478.6,466,453,445.2,Early Ordovician,Katian
Diplodon,0.01,nonHet,48.68,Diplodon,extant,247.2,237,0.0117,0,Middle Triassic,Cenozoic
Diplodonta,0.01,Het,13.15333333,Diplodonta,extant,140.2,136.4,0.0117,0,Cretaceous,Cenozoic
Discomiltha,148.55,nonHet,30.92,Discomiltha,extinct,166.1,161.2,152.1,145,Callovian,Late Jurassic
Ditypodon,4.47,nonHet,8.465,Ditypodon,extinct,,,,,,
Divalinga,0.01,Het,17.89,Divalinga,extant,72.1,66,0.126,0.0117,Maastrichtian,Pleistocene
Divalucina,0.01,nonHet,25.76666667,Divalucina,extant,11.608,5.333,0.126,0.0117,Tortonian,Pleistocene
Divaricella,0.01,Het,41.93,Divaricella,extant,61.6,56,0.0117,0,Selandian,Holocene
Divarilima,0.01,nonHet,10,Divarilima,extant,,,,,,
Donax,0.01,Het,85.8,Donax,extant,208.5,201.3,0.0117,0,Rhaetian,Cenozoic
Dosina,0.01,nonHet,66,Dosina,extant,37.2,33.9,0.126,0.0117,Priabonian,Pleistocene
Dosinia,0.01,Het,156.5,Dosinia,extant,100.5,93.9,0.0117,0,Late Cretaceous,Cenozoic
Dosiniopsis,35.95,nonHet,40.24,Dosiniopsis,extinct,83.5,70.6,28.4,23.03,Campanian,Paleogene
Dreissenomya,4.47,Het,59.78,Dreissenomya,extinct,,,,,,
Dualina,421.1,nonHet,26.47,Dualina,extinct,438.5,433.4,419.2,393.3,Telychian,Early Devonian
Dubertretia,69.05,nonHet,65.92,Dubertretia,extinct,72.1,66,72.1,66,Maastrichtian,
Dunbarella,257.05,nonHet,15.38,Dunbarella,extinct,346.7,330.9,254.17,252.17,Visean,Permian
Duplipecten,0.01,nonHet,65.02857143,Duplipecten,extinct,41.3,38,37.2,33.9,Bartonian,Priabonian
Durania,69.05,nonHet,45.07142857,Durania,extinct,105.3,99.6,70.6,66,Albian,Late Cretaceous
Eamesiella,0.01,nonHet,18.175,Eamesiella,extant,,,,,,
Eburneopecten,12.72,nonHet,16.035,Eburneopecten,extinct,125,113,5.333,2.588,Aptian,Neogene
Echinopecten,169.3,nonHet,46.23,Echinopecten,extinct,,,,,,
Ectenocardiomorpha,449.1,nonHet,9.05,Ectenocardiomorpha,extinct,453,445.2,453,445.2,Katian,
Ectenodesma,365.55,nonHet,54.16,Ectenodesma,extinct,382.7,372.2,382.7,372.2,Frasnian,
Edmondia,257.05,nonHet,44.16,Edmondia,extinct,457.5,455.8,254.17,252.17,Late Ordovician,Permian
Egerella,35.95,nonHet,9.856666667,Egerella,extinct,47.8,41.3,41.3,38,Lutetian,Bartonian
Ekstadia,424.3,nonHet,8.186666667,Ekstadia,extinct,430.5,427.4,427.4,423,Homerian,Ludlow
Electroma,0.01,nonHet,77,Electroma,extant,85.8,83.5,0.126,0.0117,Santonian,Pleistocene
Elegantinia,204.9,nonHet,19,Elegantinia,extinct,252.17,247.2,208.5,201.3,Triassic,
Eligmus,164.8,nonHet,38.23,Eligmus,extinct,174.1,168.3,161.2,150.8,Middle Jurassic,Late Jurassic
Elimata,257.05,nonHet,8.843333333,Elimata,extinct,290.1,279.3,254.17,252.17,Artinskian,Lopingian
Elongaria,0.01,nonHet,66.05714286,Elongaria,extant,5.333,2.588,5.333,2.588,Pliocene,
Empleconia,0.01,nonHet,40,Empleconia,extant,201.3,183,0.0117,0,Jurassic,Cenozoic
Enantiostreon,204.9,nonHet,69.28571429,Enantiostreon,extinct,259.9,254.17,237,228,Lopingian,Carnian
Enigmonia,0.01,nonHet,56,Enigmonia,extant,,,,,,
Ennucula,0.01,nonHet,36.3,Ennucula,extant,237,228,0.0117,0,Late Triassic,Cenozoic
Ensiculus,0.01,Het,93.86,Ensiculus,extant,41.3,38,0.126,0.0117,Bartonian,Pleistocene
Ensis,0.01,nonHet,250,Ensis,extant,72.1,66,0.0117,0,Maastrichtian,Cenozoic
Ensitellops,0.01,nonHet,12.1,Ensitellops,extant,3.6,2.588,0.126,0.0117,Piacenzian,Pleistocene
Entolium,69.05,nonHet,37.33,Entolium,extinct,265.1,259.9,5.333,2.588,Capitanian,Neogene
Entomonotis,218.25,nonHet,60.69,Entomonotis,extinct,,,,,,
Eoastarte,284.7,nonHet,13.945,Eoastarte,extinct,303.4,298.9,254.17,252.17,Gzhelian,Permian
Eocallista,148.55,Het,73.42,Eocallista,extinct,174.1,170.3,125.45,100.5,Middle Jurassic,Early Cretaceous
Eocamptonectes,257.05,nonHet,11.0175,Eocamptonectes,extinct,279.3,272.3,259.9,254.17,Kungurian,Wuchiapingian
Eocrassina,35.95,nonHet,2.426,Eocrassina,extinct,,,,,,
Eodiceras,154.7,nonHet,36.25,Eodiceras,extinct,161.2,155.7,150.8,145,Late Jurassic,Tithonian
Eodivaricella,0.01,Het,8.796969697,Eodivaricella,,,,,,,
Eomiodon,96.9,nonHet,32.99,Eomiodon,extinct,201.3,199.3,100.5,93.9,Jurassic,Cenomanian
Eonavicula,0.01,nonHet,40.66923077,Eonavicula,extant,228,208.5,70.6,66,Norian,Cretaceous
Eontia,0.01,nonHet,78.3,Eontia,extant,13.82,11.62,0.0117,0,Serravallian,Holocene
Eopecten,106.75,nonHet,95.18,Eopecten,extinct,247.2,242,109,99.6,Middle Triassic,Cenomanian
Eopinctada,91.55,nonHet,106.48,Eopinctada,extinct,,,,,,
Eoradiolites,96.9,nonHet,28.8,Eoradiolites,extinct,125,113,72.1,66,Aptian,Late Cretaceous
Eoschizodus,244.6,nonHet,43.55,Eoschizodus,extinct,433.4,427.4,364.7,360.7,Wenlock,Devonian
Eotrigonia,6.29,nonHet,28.545,Eotrigonia,extinct,33.9,28.4,11.608,5.333,Oligocene,Miocene
Eoursivivas,0.01,Het,19.40666667,Eoursivivas,extinct,145,130,70.6,66,Cretaceous,
Epicodakia,0.01,nonHet,17.01304348,Epicodakia,extant,41.3,33.9,0.126,0.0117,Bartonian,Pleistocene
Epicyprina,106.75,nonHet,78.16666667,Epicyprina,extinct,129.4,125,105.3,99.6,Barremian,Cenomanian
Epidiceras,148.55,nonHet,32.58,Epidiceras,extinct,161.2,155.7,155.7,150.8,Oxfordian,Tithonian
Equichlamys,0.01,nonHet,135,Equichlamys,extant,11.608,5.333,2.588,0.781,Tortonian,Calabrian
Erodona,0.01,Het,41.51666667,Erodona,extant,56,38,0.126,0.0117,Eocene,Pleistocene
Ervilia,0.01,nonHet,15,Ervilia,extant,59.2,56,0.0117,0,Thanetian,Holocene
Escalima,0.01,nonHet,14.9,Escalima,extant,,,,,,
Etea,69.05,nonHet,31.62,Etea,extinct,93.9,89.8,55.8,47.8,Turonian,Ypresian
Etheripecten,251.7,nonHet,21.015,Etheripecten,extinct,326.4,318.1,252.17,251.3,Serpukhovian,Induan
Ethmocardium,69.05,Het,9.92,Ethmocardium,extinct,83.5,70.6,72.1,66,Campanian,Maastrichtian
Euchondria,257.05,nonHet,11.076,Euchondria,extinct,364.7,360.7,254.17,252.17,Famennian,Permian
Eucrassatella,0.01,Het,121,Eucrassatella,extant,66,56,0.126,0,Cenozoic,
Eufistulana,0.01,Het,275,Eufistulana,extant,83.5,70.6,5.333,2.588,Campanian,Neogene
Euloxa,6.29,nonHet,25.41,Euloxa,extinct,38,33.9,7.246,5.333,Priabonian,Miocene
Eumarcia,0.01,nonHet,56.2,Eumarcia,extant,56,41.3,0.126,0.0117,Eocene,Pleistocene
Eumorphotis,231.5,nonHet,52.4,Eumorphotis,extinct,259.9,254.17,208.5,201.3,Lopingian,Triassic
Euphenax,39.65,nonHet,39.99,Euphenax,extinct,47.8,41.3,47.8,41.3,Lutetian,
Eurhomalea,0.01,nonHet,106,Eurhomalea,extant,56,47.8,0.0117,0,Eocene,Holocene
Europicardium,4.47,nonHet,50,Europicardium,extant,23.03,15.97,11.608,5.333,Miocene,
Eurydesma,270.55,nonHet,67.71428571,Eurydesma,extinct,443.4,433.4,268.8,265.1,Silurian,Wordian
Eurymya,455.7,nonHet,26.55,Eurymya,extinct,478.6,471.8,452,449.5,Early Ordovician,Katian
Eurymyella,424.3,nonHet,30.46,Eurymyella,extinct,453,445.2,438.5,433.4,Katian,Llandovery
Euthydesma,377.45,nonHet,37.38,Euthydesma,extinct,393.3,387.7,376.1,370.6,Middle Devonian,Late Devonian
Eutylus,35.95,Het,42.46,Eutylus,extinct,,,,,,
Euvola,0.01,nonHet,127.4,Euvola,extant,48.6,28.4,0.0117,0,Eocene,Holocene
Excellichlamys,0.01,nonHet,44,Excellichlamys,extant,5.333,0.0117,5.333,0.0117,Pliocene,Pleistocene
Eximiothracia,0.01,nonHet,35,Eximiothracia,extant,247.2,242,0.0117,0,Middle Triassic,Cenozoic
Exitopinna,0.01,nonHet,370,Exitopinna,extant,,,,,,
Exochorhynchus,284.7,nonHet,69.75714286,Exochorhynchus,extinct,323.2,315.2,268.8,265.1,Pennsylvanian,Wordian
Exogyra,69.05,nonHet,86.25714286,Exogyra,extinct,201.3,196.5,11.62,7.246,Jurassic,Tortonian
Exotica,0.01,Het,11.4,Exotica,extant,0.126,0.0117,0.126,0.0117,Late Pleistocene,
Ezonuculana,69.05,nonHet,17.2,Ezonuculana,extinct,129.4,125,61.6,56,Barremian,Paleocene
Fabagella,35.95,nonHet,9.026666667,Fabagella,extinct,,,,,,
Fabella,0.01,Het,13.6,Fabella,extant,2.588,1.806,0.781,0.126,Gelasian,Middle Pleistocene
Falcimytilus,148.55,nonHet,71.33,Falcimytilus,extinct,247.2,242,105.3,99.6,Middle Triassic,Cenomanian
Fasciculiconcha,301.3,nonHet,28.71,Fasciculiconcha,extinct,372.2,360.7,254.17,252.17,Famennian,Permian
Felaniella,0.01,Het,17.04,Felaniella,extant,140.2,136.4,0.0117,0,Cretaceous,Cenozoic
Felicia,0.01,nonHet,80,Felicia,extant,201.3,183,0.0117,0,Jurassic,Cenozoic
Fimbria,0.01,nonHet,133,Fimbria,extant,237,232,0.126,0.0117,Late Triassic,Pleistocene
Fissilunula,69.05,nonHet,251.8,Fissilunula,extinct,125,113,125,113,Aptian,
Flabellipecten,0.01,nonHet,78.7,Flabellipecten,extant,66,61.6,2.588,1.806,Paleogene,Gelasian
Flaventia,69.05,nonHet,25.92,Flaventia,extinct,139.8,129.4,93.9,89.8,Valanginian,Turonian
Flemingostrea,18.21,nonHet,125.08,Flemingostrea,extinct,99.6,93.5,28.1,23.03,Late Cretaceous,Paleogene
Flexicorbula,0.01,Het,12.43333333,Flexicorbula,extinct,72.1,66,72.1,66,Maastrichtian,
Flexopecten,0.01,nonHet,90.7,Flexopecten,extant,23.03,20.44,0.0117,0,Neogene,Holocene
Florimetis,0.01,nonHet,49,Florimetis,extant,23.03,15.97,2.588,0.781,Neogene,Calabrian
Fluviolanatus,0.01,nonHet,15,Fluviolanatus,,,,,,,
Fortipecten,0.01,nonHet,131.125,Fortipecten,extant,33.9,20.44,3.6,2.588,Oligocene,Neogene
Fossula,0.01,nonHet,84.5,Fossula,extant,,,,,,
Fossulites,88.05,Het,23.1,Fossulites,extinct,100.5,93.9,70.6,66,Late Cretaceous,
Foveadens,0.01,nonHet,26,Foveadens,extant,0.126,0,0.126,0,Late Pleistocene,Holocene
Fragum,0.01,Het,76,Fragum,extant,89.8,86.3,0.0117,0,Coniacian,Cenozoic
Freiastarte,69.05,Het,28.31428571,Freiastarte,extinct,157.3,145,72.1,66,Kimmeridgian,Cretaceous
Frenguelliella,69.05,nonHet,56.1,Frenguelliella,extinct,228,215.56,72.1,66,Norian,Cretaceous
Friersonia,0.01,nonHet,49,Friersonia,extant,,,,,,
Frigidocardium,0.01,Het,29.7,Frigidocardium,extant,0.126,0.0117,0.126,0.0117,Late Pleistocene,
Fugleria,0.01,nonHet,38.1,Fugleria,extant,5.333,3.6,0.126,0.0117,Pliocene,Pleistocene
Fulcrella,0.01,nonHet,6.562264151,Fulcrella,extant,66,61.6,47.8,41.3,Paleocene,Lutetian
Fulpia,96.9,nonHet,14.78,Fulpia,extinct,100.5,93.9,99.6,93.5,Cenomanian,Turonian
Fulvia,0.01,nonHet,100,Fulvia,extant,33.9,28.1,0.126,0.0117,Oligocene,Pleistocene
Fungiacava,0.01,nonHet,15,Fungiacava,extant,2.588,0.0117,2.588,0.0117,Pleistocene,
Gafrarium,0.01,nonHet,42.1,Gafrarium,extant,66,61.6,0.0117,0,Cenozoic,
Gaimardia,0.01,nonHet,32,Gaimardia,extant,56,47.8,56,47.8,Ypresian,
Gardnerella,18.21,nonHet,25.5,Gardnerella,extinct,,,,,,
